公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
1586,和勤精機股份有限公司,和勤,電機機械,－,彰化縣伸港鄉興工路40號,86985605,黃亦翔,黃亦翔,黃湘怡,集團副總經理,陳益莊,04-7980339,81/11/09,101/01/09,新台幣                 10.0000元,"863,123,020","86,312,302",0,0,合併,每年,董事會,福邦證券股份有限公司,02-23711658,台北市中正區忠孝西路一段6號6樓,安侯建業聯合會計師事務所,高鈺倫,陳宗哲,CFTC,"No. 40, Xinggong Rd., Shengang Township,Changhua County 509, Taiwan (R.O.C.)",04-7980329,service@cftc.tw,http://www.cftc.tw,黃湘怡,集團副總經理,04-7980339,gloria@cftc.tw,http://www.cftc.tw
1591,英屬開曼群島商駿吉控股(股)公司,駿吉-KY,電機機械,KY 開曼群島,"Suite 102, Cannon Place, North Sound Rd., George Town",53650116,睿智金融科技股份有限公司,江文洲,張志豪,財會主管,陳瑞春 李長賡,+60-6-6779543,98/11/19,101/03/23,新台幣                 10.0000元,"347,980,470","34,798,047",0,0,合併,每半會計年度,董事會,台新綜合證券股份有限公司,02-25048125,台北市中山區建國北路一段96號地下一樓,安永聯合會計師事務所,謝勝安,楊弘斌,INMAX,"7F., No. 3, Sec. 5, Nanjing E. Rd., Songshan Dist.Taipei City 105409 , Taiwan (R.O.C.)",+60-6-6793008,ky1591@inmax-fasteners.com,Http://www.inmax-fasteners.com,陳麗如,行政辦公室人員,02-77097667,ky1591@inmax-fasteners.com,www.inmax-fasteners.com
1593,祺驊股份有限公司,祺驊,運動休閒,－,新竹縣湖口鄉德興路231號,97432341,李佳蓉,李穎哲,黃寧民,財務部副總經理,連子瑞,03-6992860,86/03/15,101/06/13,新台幣                 10.0000元,"397,847,720","39,784,772",0,0,合併,每季,董事會,富邦綜合證券(股)公司股務代理部,02-23611300,台北市許昌街17號11樓,勤業眾信聯合會計師事務所,邱鏞銘,張至誼,CHI HUA,"No. 231 , Dexing  Rd.HuKou Township , Hsinchu County,Taiwan",03-5906393,ir@chihua.com.tw,http://www.chihua.com.tw,黃寧民,財務部副總經理,03-6992860#260,ir@chihua.com.tw,http://www.chihua.com.tw
1595,川寶科技股份有限公司,川寶,電子零組件業,－,桃園市蘆竹區長興路三段277巷33號,16860440,張鴻明,張鴻明,簡麗真,協理,張亦喬,03-3249948,88/02/19,100/10/04,新台幣                 10.0000元,"478,753,840","47,875,384",0,0,合併,每年,董事會,福邦證券股份有限公司,02-2383-6888,台北市中正區忠孝西路一段6號6樓,勤業眾信聯合會計師事務所,方蘇立,曾建銘,CBT,"No.33, Ln. 277, Sec. 3, Changxing Rd., Luzhu Dist.,Taoyuan City 338, Taiwan",03-3249968,spokesman@cbtech.com.tw,http://www.cbtech.com.tw/,簡麗真,協理,03-3249948#818,spokesman@cbtech.com.tw,http://www.cbtech.com.tw/
1599,宏佳騰動力科技股份有限公司,宏佳騰,電機機械,－,台南市山上區南洲里南洲41號,80621419,鍾杰霖,鍾杰霖,林佳慧,經理,胡春慧,06-5783988,92/12/25,101/12/25,新台幣                 10.0000元,"745,287,640","74,528,764",0,0,合併,每年,董事會,統一綜合證券股份有限公司,02-27463797,臺北市松山區東興路8號B1,資誠聯合會計師事務所,林姿妤,葉芳婷,AEON,"No.41,Nanzhou,Shanshang Dist.,Tainan City 74342,Taiwan(R.O.C.)",06-5783136,aeon@aeonmotor.com.tw,www.aeonmotor.com,林佳慧,經理,06-5783988,aeon@aeonmotor.com.tw,http://www.aeonmotor.com.tw/Shareholdercheck.php
1742,台灣蠟品股份有限公司,台蠟,化學工業,－,嘉義縣民雄工業區中正路一號,22625269,林哲印,待聘任,曾柏堯,財務主管,待聘任,05-2219180,76/08/13,93/05/14,新台幣                 10.0000元,"935,593,000","93,559,300","46,057,341",0,合併,每年,股東會,康和綜合證券股份有限公司,02-87871118,台北市信義區基隆路一段176號B1,霈昇聯合會計師事務所,王新元,邱奕志,TWC,"1,CHUNG CHENG ROAD,MINHSIUNG INDUSTRIAL PARK　CHIAYI TAIWAN REP.OF CHINA",05-2130645,twx6688@ms26.hinet.net,http://www.wax.com.tw/,曾柏堯,財務主管,03-3163816,paul.tseng@wax.com.tw,http://www.wax.com.tw/
1777,生泰合成工業股份有限公司,生泰,生技醫療業,－,台南市新營區開元路168號,72197621,蕭振明,蕭振明,蕭振明,董事長,莊美琪,06-6362121~3,71/11/09,94/10/19,新台幣                 10.0000元,"445,917,130","44,591,713",0,0,個別,每年,董事會,元大證券股份有限公司股務代理部,(02)2586-5859,103432台北市大同區承德路3段210號B1,資誠聯合會計師事務所,葉芳婷,田中玉,SYN-TECH,"No.168 Kai Yuan Rd., Hsin Ying DistrictTainan City 73055, Taiwan, R.O.C",06-6351165,fc3@syn-tech.com.tw,http://www.syn-tech.com.tw,蕭振明,董事長,06-6362121~3,investor.relation@syn-tech.com.tw,http://www.syn-tech.com.tw
1781,合世生醫科技股份有限公司,合世,生技醫療業,－,新北市中和區建一路186號9樓,97304042,楊國和,李紹弘,李淑芬,財務處副總,沈瞬良,82271300,85/12/16,93/12/24,新台幣                 10.0000元,"474,076,050","47,407,605",0,0,合併,每年,股東會,富邦綜合證券股份有限公司,02-2361-1300,台北市中正區許昌街17號2樓,資誠聯合會計師事務所,徐明釧,支秉鈞,H&L,"9F.NO.186 Jian Yi  Road Chung Ho CityTaipei,Taiwan",82271301,public@hlmt.com.tw,www.healthandlife.com.tw,李淑芬,財務處副總,82271300*18811,public@hlmt.com.tw,www.healthandlife.com.tw
1784,訊聯生物科技股份有限公司,訊聯,生技醫療業,－,台北市內湖區新湖一路36巷28號1樓,70836411,蔡政憲,康清原,康清原,總經理,楊志峰,(02)27951777,89/08/17,96/07/26,新台幣                 10.0000元,"496,269,240","49,626,924",0,0,合併,每半會計年度,董事會,中國信託商業銀行(股)公司代理部,(02)66365566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,黃珮娟,鄧聖偉,BIONET CORP.,"1F,No.28, Ln. 36 , Xinhu 1st  Rd.Neihu Dist.,Taipei  City 11497, , Taiwan",(02)27938009,investment@BionetCorp.com,http://www.BionetCorp.com,余明忠,財務處專案經理,(02)27951777,davidyu@BionetCorp.com,https://www.bionetcorp.com/article?ac_id=32&ac_sub_id=35&a_id=39
1785,光洋應用材料科技股份有限公司,光洋科,其他電子業,－,台南市安南區工業三路1號,43787872,黄啓峰,黄啓峰,黄啓峰,董事長暨總經理,金華,06-5110123,67/08/29,94/01/31,新台幣                 10.0000元,"5,962,702,430","596,270,243",0,0,合併,每年,董事會,永豐金證券股份有限公司,02-23816288,台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,楊朝欽,李季珍,Solar,"No.1, Gongye 3rd Rd., Annan Dist,Tainan City 70955, Taiwan (R.O.C.)",06-3843216,shareholders@solartech.com.tw,http://www.solartech.com.tw/tw/index.html,金華,經理,06-5110123,shareholders@solartech.com.tw,http://www.solartech.com.tw/tw/responsibility_business_conduct.html
1788,杏昌生技股份有限公司,杏昌,生技醫療業,－,新北市三重區重新路5段609巷2號8樓之2,23161816,李忠良,陳國師,李映芬,管理處副總經理,張耀元,6626-1166,78/02/13,98/07/20,新台幣                 10.0000元,"445,209,710","44,520,971",0,0,合併,每年,股東會,元富證券股份有限公司股務代理部,(02)2768-6668,台北市松山區光復北路11巷35號地下1樓,安侯建業聯合會計師事務所,于紀隆,林恒昇,HCI,"8F.2,NO.2,Ln.609,Sec.5,Chongxin Rd.,Sanchong Dist.,New Taipei City 24159,TaiwaR.O.C.",2995-3363,jerry_pon108@hiclearance.com.tw,www.hiclearance.com.tw,李映芬,管理處副總經理,6626-1166#510,nancy_lee@hiclearance.com.tw,www.hiclearance.com.tw
1796,金穎生物科技股份有限公司,金穎生技,食品工業,－,台南市新營區新工路33號,16962158,張曉莉,金晉德,蕭興義,副總經理,金晉德,06-5109001,88/07/17,107/01/22,新台幣                 10.0000元,"414,597,930","41,459,793","12,000,000",0,合併,每年,董事會,兆豐證券股份有限公司,(02)33930898,台北市忠孝東路二段95號1樓,資誠聯合會計師事務所,徐惠榆,林姿妤,GeneFerm,"No.33,Shin-Kung RdShinying City,Tainan County,Taiwan",06-5055750,l1796@ms.tpex.org.tw,http://www.geneferm.com,蘇琪棉,經理,06-5109001,investor@geneferm.com,http://www.geneferm.com/ch/investor-1.html
1799,易威生醫科技股份有限公司,易威,生技醫療業,－,新竹科學工業園區新竹市東區研發二路10號1樓,16570131,林翰飛,李艾平,吳雪君,財務協理,洪筠,(03)666-9596,87/08/10,97/11/10,新台幣                 10.0000元,"1,218,657,750","121,865,775","74,103,828",0,合併,每年,股東會,宏遠證券股份有限公司股務代理部,(02)2326-8818,臺北市大安區信義路四段236號3樓,資誠聯合會計師事務所,劉倩瑜,鄭雅慧,EASYWELL,"1F., No.10, Yanfa 2nd Road, Hsinchu Science ParkHsinChu 30076, TAIWAN(R.O.C)",(03)666-9697,spokesman@easywellbio.com,http://www.easywellbio.com,吳雪君,財務協理,03-6669596,spokesman@easywellbio.com,http://www.easywellbio.com
1813,寶利徠光學科技股份有限公司,寶利徠,生技醫療業,－,33759桃園市大園區南港里11鄰長發路406號,84449952,宋一新,李瑞賢,李瑞賢,總經理,陸芸平,03-3853934,82/09/22,98/08/04,新台幣                 10.0000元,"466,355,100","46,635,510",0,0,合併,每年,董事會,群益金鼎證券股份有限公司,02-27023999,台北市松山區敦化南路二段97號B2,勤業眾信聯合會計師事務所,鄭欽宗,陳彥君,Polylite,"No. 406, Changfa Rd., Dayuan Dist.Taoyuan City 33759, Taiwan R.O.C.",03-3863837,info@gialens.com.tw,http://www.gialens.com.tw,李瑞賢,總經理,03-3853934,rayLRS@gialens.com.tw,http://www.gialens.com.tw/index.asp?area=CSR&menu=CSR02
1815,富喬工業股份有限公司,富喬,電子零組件業,－,雲林縣斗六市榴南里斗工十六路8號,16834268,張元賓,陳壁程,胡銘倫,協理,楊閔安,02-27357658,88/01/14,95/01/23,新台幣                 10.0000元,"4,590,210,360","459,021,036",0,0,合併,每年,股東會,富喬工業股份有限公司股務室,02-2705-1333,台北市敦化南路二段九十八號十二樓,勤業眾信聯合會計師事務所,王儀雯,林文欽,FFG,"NO8.Dou Kong 16 RoadDou Leu City,Taiwan.",02-27357698,fulltech@ffg.com.tw,http://www.ffg.com.tw,胡銘倫,協理,2735-7658,lester@ffg.com.tw,http://www.ffg.com.tw/contact-02.asp
2035,唐榮鐵工廠股份有限公司,唐榮公司,鋼鐵工業,－,高雄市小港區沿海二路四號,75460005,吳豐盛,吳豐盛,劉岳前,管理部門副總經理,林郁,07-8022811,44/04/26,95/07/07,新台幣                 10.0000元,"3,500,000,000","350,000,000",0,0,個別,每年,股東會,群益金鼎證券股份有限公司,02-2702-3999,台北市敦化南路2段97號地下2樓,安侯建業會計師事務所,黃欣婷,韓沂璉,TE,"No.4,  Yen Hai 2nd Rd., Hsiao Kang .,Kaohsiung City,Taiwan ROC",07-8010801,nty@mail.tangeng.com.tw,http://www.tangeng.com.tw,倪端儀,管理師,02-23709199,nty@mail.tangeng.com.tw,http://www.tangeng.com.tw
2061,風青實業股份有限公司,風青,電器電纜,－,高雄市苓雅區新光路38號30樓之4,89260422,陳福得,陳信宇,蔡玉賢,稽核主管,王文英,07-2693339,83/09/10,99/12/09,新台幣                 10.0000元,"471,082,900","47,108,290",0,0,合併,每季,董事會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號6樓,資誠聯合會計師事務所,廖阿甚,王國華,FENG CHING,"30F.-4, No. 38, Xinguang Rd., Lingya Dist.,Kaohsiung City 802, Taiwan (R.O.C.)",07-2693515,r7873942@ms23.hinet.net,http://www.fcm.com.tw,蔡玉賢,稽核主管,07-2693339,hsien727@fcm.com.tw,https://www.fcm.com.tw/hot_404469.html
2063,世鎧精密股份有限公司,世鎧,鋼鐵工業,－,高雄市岡山區本洲里本工一路一號,86637206,杜泰源,陳駿彥,鄭守傑,副總經理,張威健,07-6225669,81/04/28,99/09/07,新台幣                 10.0000元,"495,995,300","49,599,530",0,0,合併,每季,董事會,永豐金證券股份有限公司,02-23816288,10044台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,許凱甯,郭麗園,SHEH KAI,"NO.1, Ben Gong 1st Rd., Ben Chou Industrial Park, Kangshan TownKaohsiung82059, Taiwan",07-6230964,roger@shehkai.com.tw,www.shehkai.com.tw,鄭守傑,副總經理,07-6225669,roger@shehkai.com.tw,www.shehkai.com.tw/list/cate-54177.htm
2064,晉椿工業股份有限公司,晉椿,鋼鐵工業,－,50544彰化縣鹿港鎮鹿工路24號,30826319,陳譽,蕭良賢,陳譽,董事長,黃俊勳,04-7810000,60/05/10,103/12/26,新台幣                 10.0000元,"696,300,000","69,630,000",0,0,合併,每年,董事會,群益金鼎證券股份有限公司,02-27035000,台北市大安區敦化南路二段97號B2,安侯建業聯合會計師事務所,黃柏淑,吳仲舜,CAMELLIA,"No.24, Lugong Rd., Chang Bin Industrial ParkLugang Town, Chang Hua County , Taiwan",04-7810099,cametal.taiwan@msa.hinet.net,http://www.camelliametal.com,陳譽,董事長,04-7810000,edward@camelliametal.com,http://www.camelliametal.com
2065,世豐螺絲股份有限公司,世豐,鋼鐵工業,－,(82547)高雄市橋頭區頂鹽里復興西路810號,31213886,杜泰源,陳駿彥,陳秀珠,副總,陳姿吟,07-6116116,62/08/09,106/04/21,新台幣                 10.0000元,"533,998,370","53,399,837",0,0,合併,每季,董事會,富邦綜合證券股份有限公司,02-23611300,台北市許昌街17號2樓,安侯建業聯合會計師事務所,關春修,蘇彥達,SF,"No.810, Fuxing W. Rd.Kaohsiung City 82547, Taiwan (R.O.C.)",07-6197589,investor@shehfung.com,www.shehfung.com,陳秀珠,副總,07-6116116,investor@shehfung.com,www.shehfung.com
2066,世德工業股份有限公司,世德,電機機械,－,高雄市大寮區(831)大發工業區華西路20號,22546808,陳光裕,"Schermbach, Martin Alexander",陳怡樺,財務主管,黃雅鈴,07-7889168,77/01/29,102/09/24,新台幣                 10.0000元,"422,095,140","42,209,514",0,0,合併,每半會計年度,董事會,台新綜合證券(股)公司股務代理部,02-25048125,台北市中山區建國北路一段96號B1,安侯建業聯合會計師事務所,陳永祥,許振隆,SUMEEKO,"No.20,HuaxiRd.,Ta-Fa Industrial Dist.Kaohsiung County 831 Taiwan,R.O.C.",07-7887868,invest@sumeeko.com,www.sumeeko.com,陳怡樺,財務主管,07-7889168,invest@sumeeko.com,www.sumeeko.com
2067,嘉鋼精密工業股份有限公司,嘉鋼,電機機械,－,(62155)嘉義縣民雄鄉民雄工業區成功二街21號,66402912,曹光照,陳龍芳,曹恆健,副董事長,蕭景淑,(05)2211411,63/04/11,103/05/26,新台幣                 10.0000元,"451,381,770","45,138,177",0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)66365566,台北市重慶南路一段83號5樓,國富浩華聯合會計師事務所,李國銘,謝仁耀,CYSTEEL,"21 Chenggong 2nd St. Minxiong Township,Chia Yi County, Taiwan",(05)2208033,abby@cysteel.com.tw,http://www.cysteel.com.tw/,曹恆健,副董事長,(05)2211411,eric@cysteel.com.tw,http://www.cysteel.com.tw/chstake.html
2070,精湛光學科技股份有限公司,精湛,電機機械,－,高雄市湖內區忠孝街110巷58號,89855649,吳俊男,周毓誠,徐世恩,財會及公司治理主管,吳虹臻,07-6937937,83/09/21,107/12/17,新台幣                 10.0000元,"357,828,000","35,782,800",0,0,合併,每半會計年度,董事會,福邦證券股份有限公司,02-2383-6888,台北市中正區忠孝西路一段6號6樓,資誠聯合會計師事務所,葉芳婷,林姿妤,Ching Chan,"No. 58,Lane 110,Zhongxiao St.,Hu-Nei Dist., Kaohsiung City 82945,TaiwanKaohsiung 82945, Taiwan",07-6937772,ccm@ccm3s.com,http://www.ccm3s.com/,徐世恩,財會及公司治理主管,07-6937937,ccm@ccm3s.com,http://www.ccm3s.com/
2073,雄順金屬股份有限公司,雄順,鋼鐵工業,－,高雄市路竹區順安路393號,24512261,陳啟祥,蔡江淮(代理),林上文,副總經理,顏仲裕,07-6960166,99/04/21,112/06/21,新台幣                 10.0000元,"275,000,000","27,500,000",0,0,個別,每年,股東會,永豐金證券(股)公司股務代理部,02-2381-6288,台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,劉裕祥,許凱甯,SSMC,"No. 393, Shun'an Rd., Luzhu Dist.,Kaohsiung City 821010, Taiwan",07-6968123,ir@ssmc.com.tw,www.ssmc.com.tw,顏仲裕,稽核經理,07-6960166,ir@ssmc.com.tw,www.ssmc.com.tw
2221,大甲永和機械工業股份有限公司,大甲,其他,－,台中市大甲區幼獅路69號,56615319,黃士峰,鍾志清,鍾志清,總經理,王淑瑜,04-26815496,66/08/19,96/08/01,新台幣                 10.0000元,"423,250,000","42,325,000",0,0,合併,每年,股東會,凱基證券股份有限公司,02-2389-2999,台北市重慶南路一段2號5樓,勤業眾信聯合會計師事務所,蔣淑菁,蘇定堅,DAJA、YHMCO,"No.69 ,Yu-Shih Rd., Dajia Dist.Taichung City  437, Taiwan",04-26815456,yhmco@yhmco.com.tw,http://www.yhmco.com.tw/,鍾志清,總經理,04-36000080,elian@yhmco.com.tw,http://www.yhmco.com.tw/responsibility/relationship.php
2230,泰茂實業股份有限公司,泰茂,電機機械,－,(72046)台南市官田區二鎮里實踐街10號,86070187,呂萬賢,呂萬傑,呂萬傑,總經理,吳美玲,06-6991235,80/02/06,102/04/18,新台幣                 10.0000元,"511,236,700","51,123,670",0,0,合併,每年,股東會,兆豐證券股份有限公司,(02)3393-0898,臺北市忠孝東路二段95號8樓,勤業眾信聯合會計師事務所,王騰葦,廖鴻儒,C.T.I.,"10 Shih Chien Street Kuan Tien Industrial ParkTainan City 720, Taiwan (R.O.C.)",06-6990675,cti@ctico.com.tw,http://www.ctico.com.tw/,吳美玲,財務主管,06-6991235#210,cti-30@ctico.com.tw,http://www.ctico.com.tw/style/frame/templates11/factory.asp?lang=1&customer_id=1892&content_set=colo
2235,謚源實業股份有限公司,謚源,電機機械,－,33378桃園市龜山區大華里頂湖路24號,22479934,吳碣石,吳碣石,王妤暄,發言人,吳哲瑋,(03)3973868,76/04/16,103/12/15,新台幣                 10.0000元,"358,780,000","35,878,000",0,0,個別,每年,股東會,統一證券股份有限公司股務代理部,(02)27478266,台北市松山區東興路8號B1樓,安永聯合會計師事務所,蕭翠慧,李育儒,I YUAN,"No.24,Dinghu Rd.,Guishan TownshipTaoyuan County,Taiwan(R.O.C.)",(03)3973199,florence@tiy-motor.com.tw,www.tiy-motor.com,張芳鳴,財務長,(03)3973868,florence@tiy-motor.com.tw,http://www.tiy-motor.com/webls-zh-tw/msg/Investors.html
2596,綠意開發股份有限公司,綠意,建材營造,－,台北市市民大道五段69號2樓,12860948,許燈城,許燈城,許志豪,特別助理,林秀娟,(02)8787-8096,90/05/04,98/06/01,新台幣                 10.0000元,"1,000,000,000","100,000,000",0,0,合併,每年,股東會,福邦證券股份有限公司,(02)2371-1658,台北市忠孝西路一段6號6樓,安侯建業聯合會計師事務所,陳雅琳,唐嘉鍵,ReaLy,"2F,NO.69,CIVIL BOULEVARD, Sec.5Taipei, Taiwan, R.O.C.",(02)8787-3416,services@realycorp.com.tw,www.realycorp.com.tw,許志豪,特別助理,(02)8787-8096,patrickh@realycorp.com.tw,www.realycorp.com.tw/investor-7.htm
