公司代號,公司名稱,公司簡稱,產業類別,住址,董事長,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,簽證會計師事務所,英文簡稱,電子郵件信箱,公司網址
1231,聯華食品工業股份有限公司,聯華食,食品工業,台北市迪化街一段148號,李開源,1959/7/7,1984/11/2,新台幣                 10.0000元,"2,466,565,910","246,656,591",合併,每年,股東會,永豐金證券股份有限公司,勤業眾信聯合會計師事務所,Lian Hwa Foods,tomlin@lianhwa.com.tw,www.lianhwa.com.tw
1232,大統益股份有限公司,大統益,食品工業,台南市官田區二鎮里工業西路32號,羅智先,1971/5/24,1985/2/9,新台幣                 10.0000元,"1,599,749,150","159,974,915",合併,每年,股東會,統一綜合證券股份有限公司,資誠聯合會計師事務所,TTET,finance@mail.ttet.com.tw,https://www.ttet.com.tw
1233,天仁茶業股份有限公司,天仁,食品工業,台北市忠孝東路4段107號6樓,李國麟,1964/12/11,1988/1/20,新台幣                 10.0000元,"905,919,480","90,591,948",合併,每年,董事會,元大證券股份有限公司,安永聯合會計師事務所,Ten Ren,chafortea@tenren.com.tw,http://www.tenren.com.tw/
1234,黑松股份有限公司,黑松,食品工業,台北市信義路四段296號3樓,張斌堂,1958/12/13,1988/3/12,新台幣                 10.0000元,"4,018,710,940","401,871,094",合併,每年,董事會,宏遠證券股份有限公司股務代理部,勤業眾信聯合會計師事務所,HEY SONG,heysong@heysong.com.tw,www.heysong.com.tw
1235,興泰實業股份有限公司,興泰,食品工業,高雄市仁武區高楠公路10號,吳金泉,1961/11/15,1989/9/11,新台幣                 10.0000元,"1,496,649,500","149,664,950",合併,每年,股東會,國票綜合證券股份有限公司,群智聯合會計師事務所,ST,shintai1235@seed.net.tw,www.shintai-feed.com.tw
1236,宏亞食品股份有限公司,宏亞,食品工業,新北市新店區北新路一段86號20樓之6,張云綺,1965/6/14,1990/9/17,新台幣                 10.0000元,"866,740,080","86,674,008",合併,每年,董事會,福邦證券股份有限公司,安永聯合會計師事務所,Hunya,hunya.com.tw,www.hunya.com.tw
1256,鮮活控股股份有限公司,鮮活果汁-KY,食品工業,"Suite 102, Cannon Place, P.O. Box 712, North Sound Rd.",黃國晃,1999/1/12,105/03/17,新台幣                 10.0000元,"338,421,600","33,842,160",合併,每年,股東會,兆豐證券股份有限公司股務代理部,勤業眾信聯合會計師事務所,Sunjuice,ky@myfreshjuice.com,http://www.myfreshjuice.com
1301,台灣塑膠工業股份有限公司,台塑,塑膠工業,高雄市仁武區水管路100號,林健男,1943/11/5,1953/7/27,新台幣                 10.0000元,"63,657,407,810","6,365,740,781",合併,每年,董事會,本公司股務組,安侯建業聯合會計師事務所,FPC,formosa@fpc.com.tw,http://www.fpc.com.tw
1303,南亞塑膠工業股份有限公司,南亞,塑膠工業,台北市內湖區南京東路六段380號(A1)7樓,吳嘉昭,1947/8/22,1956/11/5,新台幣                 10.0000元,"79,308,215,890","7,930,821,589",合併,每年,董事會,本公司股務組,安侯建業聯合會計師事務所,NPC,nanya@npc.com.tw,http://www.npc.com.tw
1304,台灣聚合化學品股份有限公司,台聚,塑膠工業,台北市內湖區基湖路37號12樓,吳亦圭,1954/5/26,1961/5/20,新台幣                 10.0000元,"11,887,635,000","1,188,763,500",合併,每年,股東會,本公司股務部,勤業眾信聯合會計師事務所,USI,mtwu@usig.com,www.usife.com.tw
1305,華夏海灣塑膠股份有限公司,華夏,塑膠工業,台北市內湖區基湖路37號12樓,吳亦圭,1953/4/29,1962/3/5,新台幣                 10.0000元,"5,810,504,940","581,050,494",合併,每年,股東會,本公司股務部,勤業眾信聯合會計師事務所,CGPC,jhwu@usig.com,https://www.cgpc.com.tw
1307,三芳化學工業股份有限公司,三芳,塑膠工業,高雄市三民區通化街120號,林孟經,1962/6/16,1974/11/23,新台幣                 10.0000元,"3,978,181,260","397,818,126",合併,每年,董事會,中國信託代理部,勤業眾信會計師事務所,SAN FANG,service@sanfang.com.tw,http://www.sanfang.com.tw
1308,亞洲聚合股份有限公司,亞聚,塑膠工業,高雄市林園區工業一路3號,吳亦圭,1966/1/25,1975/6/20,新台幣                 10.0000元,"5,937,439,190","593,743,919",合併,每年,股東會,亞洲聚合股份有限公司股務部,勤業眾信聯合會計師事務所,APC,gltzeng@usig.com,HTTP://WWW.apc.com.tw
1309,台達化學工業股份有限公司,台達化,塑膠工業,台北市內湖區基湖路37號12樓,吳亦圭,1949/4/6,1975/6/27,新台幣                 10.0000元,"3,975,868,480","397,586,848",合併,每年,股東會,台達化學工業股份有限公司股務部,勤業眾信聯合會計師事務所,TTC,chunhao@usig.com,http://www.ttc.com.tw
1310,台灣苯乙烯工業股份有限公司,台苯,塑膠工業,台北市中正區羅斯福路一段六號八樓之一,林文淵,1968/11/16,1976/8/6,新台幣                 10.0000元,"5,278,697,640","527,869,764",合併,每年,董事會,元大證券(股)公司股務代理部,安侯建業聯合會計師事務所,T.S.M.C.,investors@mail.smct.com.tw,http://www.smct.com.tw/
1312,國喬石油化學股份有限公司,國喬,塑膠工業,臺北市敦化北路135號8樓,邱德馨,1962/9/25,1977/12/21,新台幣                 10.0000元,"11,266,203,280","1,106,620,328",合併,每年,董事會,凱基證券(股)公司代理部,國富浩華聯合會計師事務所,GPPC,gppc@gppc.com.tw,http://www.gppc.com.tw
1313,聯成化學科技股份有限公司,聯成,塑膠工業,台北市南港區南港路一段209號A棟9樓,苗豐強,1965/8/14,1978/3/27,新台幣                 10.0000元,"13,649,566,070","1,364,956,607",合併,每年,董事會,中國信託商業銀行代理部,勤業眾信聯合會計師事務所,UPC,ir@upc.com.tw,http://www.upc.com.tw
1314,中國石油化學工業開發(股)公司,中石化,塑膠工業,高雄市大社區經建路1號,陳瑞隆,1958/7/8,1980/7/12,新台幣                 10.0000元,"37,848,501,300","3,784,850,130",合併,每年,股東會,本公司股務室,安侯建業會計師事務所,CPDC,list1314@ms.tse.com.tw,www.cpdc.com.tw
1315,達新工業股份有限公司,達新,塑膠工業,台中市西屯區工業區35路51號,吳子聰,1955/10/24,1981/5/9,新台幣                 10.0000元,"990,990,000","99,099,000",合併,每半會計年度,董事會,中國信託商業銀行代理部,國富浩華聯合會計師事務所,TAH HSIN,thst@mail.tahhsin.com.tw,www.tahhsin.com.tw
1316,上曜建設開發股份有限公司,上曜,建材營造,台南市安平區永華路二段248號20樓之6,張祐銘,1968/12/11,1981/10/15,新台幣                 10.0000元,"2,804,169,330","280,416,933",合併,每半會計年度,董事會,元大證券股份有限公司,安侯建業聯合會計師事務所,SUN  YAD,fina@sunyad.com.tw,www.sunyad.com.tw
1319,東陽實業廠股份有限公司,東陽,汽車工業,台南市安和路二段98號,吳永茂,1956/10/30,1983/12/12,新台幣                 10.0000元,"5,914,770,680","591,477,068",合併,每年,董事會,中國信託商業銀行代理部,安永聯合會計師事務所,OTN,15469@tyg.com.tw,WWW.TYG.COM.TW
1321,大洋塑膠工業股份有限公司,大洋,塑膠工業,"台北市莒光路310號5,6樓",陳欽明,1954/6/7,1988/1/26,新台幣                 10.0000元,"2,272,282,680","227,228,268",合併,每年,股東會,凱基證券(股)公司股務代理部,安侯建業聯合會計師事務所,OPC,mauwau@opc.com.tw,www.opc.com.tw
1323,永裕塑膠工業股份有限公司,永裕,塑膠工業,台南市仁德區勝利路88號,王威程,1962/4/2,1989/9/11,新台幣                 10.0000元,"912,745,540","91,274,554",合併,每年,董事會,凱基證券股份有限公司,資誠聯合會計師事務所,YONYU,kct3232@yonyu.com.tw,www.yonyu.com.tw
1324,地球綜合工業股份有限公司,地球,塑膠工業,台北市中山區南京東路3段61號7樓,鈞鼎投資股份有限公司(代表人張德照),1953/12/8,1989/9/11,新台幣                 10.0000元,"751,218,820","75,121,882",合併,每年,董事會,永豐金證券股份有限公司,安永聯合會計師事務所,GLOBE TAPE,fet@globetape.com.tw,http://www.globetape.com.tw
1325,恒大股份有限公司,恆大,塑膠工業,台北市林森北路372號10樓,黃美慧,1951/10/14,1989/9/11,新台幣                 10.0000元,"852,811,980","85,281,198",合併,每年,董事會,中國信託商業銀行代理部,勤業眾信聯合會計師事務所,UK,uk4409@ms34.hinet.net,www.uk.com.tw
1326,台灣化學纖維股份有限公司,台化,塑膠工業,彰化市中山路3段359號,洪福源,1954/3/5,1973/12/20,新台幣                 10.0000元,"58,611,862,910","5,861,186,291",合併,每年,董事會,台灣化學纖維股份有限公司股務室,資誠聯合會計師事務所,FCFC,fcfc@fcfc.com.tw,http://www.fcfc.com.tw
1337,亞洲塑膠再生資源控股有限公司,再生-KY,塑膠工業,高雄市苓雅區四維四路190號12樓之2,丁金山,1999/1/8,100/08/17,新台幣                 10.0000元,"2,689,547,290","268,954,729",合併,每年,股東會,元大證券股份有限公司股務代理部,德昌聯合會計師事務所,Asia Plastic,weimin831@gmail.com,http://asia-recycle.com
1338,廣華控股有限公司,廣華-KY,汽車工業,廣東省東莞市厚街鎮橋頭第三工業區,余澤民,1998/12/8,101/12/19,新台幣                 10.0000元,"838,400,000","83,840,000",合併,每年,股東會,兆豐證券股份有限公司股務代理部,安侯建業聯合會計師事務所,Hiroca,hiroca@hirosawa.com.cn,www.hirosawa.com.cn
1339,昭輝實業股份有限公司,昭輝,汽車工業,彰化縣鹿港鎮興業路8號,禾翰投資股份有限公司,1975/3/7,101/04/24,新台幣                 10.0000元,"741,238,750","74,123,875",合併,每年,董事會,統一綜合證券股份有限公司,資誠聯合會計師事務所,Y.C.C.,ycc888@yccco.com.tw,http://www.yccco.com.tw
1340,勝悅新材料有限公司,勝悅-KY,塑膠工業,中國福建省晉江市青陽蓮嶼工業區,莊國清,101/06/14,103/01/14,新台幣                 10.0000元,"1,529,228,550","152,922,855",合併,每年,股東會,永豐金證券公司股務代理部,信永中和聯合會計師事務所,VICTORY,peter.chen@sportspowersole.com,www.vnm.com.tw
1341,富林塑膠工業(開曼)控股(股)公司,富林-KY,塑膠工業,越南海防市陽京郡海城坊范文同路第9里程,王源林,105/11/30,107/12/24,新台幣                 10.0000元,"528,506,340","52,850,634",合併,每季,董事會,中國信託商業銀行代理部,勤業眾信聯合會計師事務所,FULIN-KY,joyylin@fulintw.com.tw,http://www.fulinvn.com
1342,八貫企業股份有限公司,八貫,其他,宜蘭縣冬山鄉德興四路6號,劉宗熹,1971/6/17,109/11/24,新台幣                 10.0000元,"713,448,470","71,344,847",個別,每年,董事會,富邦綜合證券(股)公司股務代理部,安永聯合會計師事務所,CCI Yilan,investor@cathay1342.com.tw,http://www.cathayconsolidated.com
1402,遠東新世紀股份有限公司,遠東新,紡織纖維,台北市大安區敦化南路二段207號36樓,徐旭東,1943/1/13,1956/4/14,新台幣                 10.0000元,"53,528,752,270","5,352,875,227",合併,每年,股東會,亞東證券股份有限公司,勤業眾信聯合會計師事務所,FENC,csostaff@metro.feg.com.tw,www.fenc.com
1409,新光合成纖維股份有限公司,新纖,紡織纖維,台北市大安區仁愛路三段136號5樓,吳東昇,1956/4/25,1962/8/31,新台幣                 10.0000元,"16,184,092,860","1,618,409,286",合併,每年,董事會,新光證券(股)公司股務代理部,勤業眾信聯合會計師事務所,SSFC,analysis@shinkong.com.tw,www.shinkong.com.tw
1410,南洋染整股份有限公司,南染,紡織纖維,桃園市蘆竹區南山路三段二三三號,何  鈞,1953/12/22,1962/10/18,新台幣                 10.0000元,"630,000,000","63,000,000",合併,每年,董事會,中國信託商銀代理部,安侯建業聯合會計師事務所,NYDF,nydyeing@ms19.hinet.net,www.nydf.com.tw
1413,宏洲纖維工業股份有限公司,宏洲,紡織纖維,台北市內湖區瑞光路607號7樓,詹正田,1957/7/30,1964/12/23,新台幣                 10.0000元,"1,321,124,540","132,112,454",個別,每年,董事會,福邦證券股份有限公司股務代理部,安侯建業聯合會計師事務所,H.C.,wallace@hungchou.com.tw,http://www.hungchou.com.tw/
1414,東和紡織股份有限公司,東和,紡織纖維,台北市仁愛路四段376號13樓,蔡淑櫻,1948/9/11,1965/2/2,新台幣                 10.0000元,"2,200,000,000","220,000,000",個別,每年,董事會,中國信託商業銀行代理部,勤業眾信聯合會計師事務所,TUNG HO,admsect@tungho.com.tw,www.tungho.com.tw
1416,廣豐實業股份有限公司,廣豐,其他,台北市大安區敦化南路2段97號28樓,賀錫敬,1957/6/28,1965/4/20,新台幣                 10.0000元,"1,853,421,680","185,342,168",合併,每年,股東會,元大證券股份有限公司,資誠聯合會計師事務所,KFIC,s.j.chern@kfic.com.tw,www.kfic.com.tw
1417,嘉裕股份有限公司,嘉裕,紡織纖維,臺北市仁愛路四段25號7樓(通訊地址),黃得超,1958/12/12,1965/12/28,新台幣                 10.0000元,"1,899,418,400","189,941,840",合併,每年,股東會,公司股務課,勤業眾信聯合會計師事務所,CARNIVAL,investor@carnival.com.tw,https://www.carnival.com.tw/index.php?lang=tw
1418,東華龍股份有限公司,東華,紡織纖維,台北市新生南路1段56號9樓,林壯儒,1959/3/2,1966/2/14,新台幣                 10.0000元,"568,343,090","56,834,309",合併,每年,股東會,永豐金證券股務代理部,正風聯合會計師事務所,TongHwa,thsf@ms22.hinet.net,www.tonghwa.com.tw
1419,新光紡織股份有限公司,新紡,紡織纖維,台北市中山區中山北路二段44號15樓,吳昕恩,1944/6/6,1966/3/14,新台幣                 10.0000元,"3,000,412,800","300,041,280",合併,每年,董事會,台新證券股務代理部,勤業眾信聯合會計師事務所,SHINKO.TEXTILE,marketing@sktextile.com.tw,http://www.sktextile.com.tw
1423,利華羊毛工業股份有限公司,利華,紡織纖維,台北市忠孝東路四段310號12樓,應柔爾,1953/7/23,1968/4/2,新台幣                 10.0000元,"996,480,000","99,648,000",個別,每年,股東會,中國信託商業銀行代理部,安永聯合會計師事務所,REWARD WOOL,reward@reward.com.tw,www.reward.com.tw
1432,大魯閣實業股份有限公司,大魯閣,運動休閒,台中市東區復興路4段186號,林曼麗,1962/7/18,1971/7/26,新台幣                 10.0000元,"900,000,000","90,000,000",合併,每年,股東會,華南永昌綜合證券股份有限公司,資誠聯合會計師事務所,TAROKO,will.chen@trkmall.com.tw,https://www.taroko.com.tw/
1434,福懋興業股份有限公司,福懋,紡織纖維,雲林縣斗六市榴中里石榴路317號,王文淵,1962/4/19,1974/12/24,新台幣                 10.0000元,"16,846,646,370","1,684,664,637",合併,每年,董事會,本公司股務科,資誠聯合會計師事務所,F.T.C,u586267@ftc.com.tw,http://www.ftc.com.tw
1435,中福國際(股)公司,中福,其他,新北市中和區景平路666號2樓,陳建,1960/1/15,1976/12/28,新台幣                 10.0000元,"1,397,800,800","139,780,080",個別,每年,股東會,宏遠證券(股)公司股務代理部,冠恆联合會計師事務所,C.F.CORP.,ir@chungfutex.com.tw,www.chungfutex.com.tw
1436,華友聯開發股份有限公司(原福益),華友聯,建材營造,高雄市鳳山區文龍路85號11樓,陸炤廷,1956/1/31,1977/4/11,新台幣                 10.0000元,"997,077,660","99,707,766",合併,每年,董事會,元大證券(股)股務代理部,勤業眾信聯合會計師事務所,HUA YU LIEN,steven@huakai.com.tw,www.huakai.com.tw
1437,勤益投資控股股份有限公司,勤益控,其他,台北市大安區忠孝東路4段320號9樓,顧立楷,1950/2/23,1977/11/10,新台幣                 10.0000元,"2,033,712,840","203,371,284",合併,每年,董事會,中國信託商業銀行代理部,安侯建業聯合會計師事務所,GTM,gtm@gtm.com.tw,http://www.gtm.com.tw
1438,三地開發地產股份有限公司,三地開發,建材營造,高雄市苓雅區中正二路175號16樓之3,鍾育霖,1944/10/11,1977/12/15,新台幣                 10.0000元,"912,057,590","91,205,759",個別,每年,股東會,凱基證券股份有限公司,安侯建業聯合會計師事務所,SanDi,yufoongb@ms37.hinet.net,http://www.sandirealestate.com.tw/
1439,雋揚國際股份有限公司,雋揚,建材營造,台北市信義區忠孝東路四段557之1號19樓,侯嘉騏,1953/10/1,1978/5/22,新台幣                 10.0000元,"920,000,000","92,000,000",合併,每年,董事會,福邦證券股份有限公司股務代理部,資誠聯合會計師事務所,ASCENT,ir@ascentglobal.com.tw,https://www.ascentglobal.com.tw/
1440,臺南紡織股份有限公司,南紡,紡織纖維,臺南市東區裕農路511號,侯博明,1944/3/21,1978/10/3,新台幣                 10.0000元,"16,568,158,570","1,656,815,857",合併,每年,董事會,統一綜合證券(股)公司股務代理部,資誠聯合會計師事務所,TAINAN SPINNING,general@tainanspin.com.tw,www.tainanspin.com.tw
1441,大東紡織股份有限公司,大東,紡織纖維,台北市松山區南京東路三段346號3樓,陳修忠,1947/3/15,1978/10/27,新台幣                 10.0000元,"693,821,820","69,382,182",合併,每年,股東會,群益金鼎證券(股)公司股務代理部,資誠聯合會計師事務所,TAH TONG,spokesperson@tahtong.com.tw,www.tahtong.com.tw
1442,名軒開發股份有限公司,名軒,建材營造,新北市五股區成泰路一段189巷16號5樓,吳泓瑩,1963/7/18,1978/11/16,新台幣                 10.0000元,"3,662,113,580","366,211,358",合併,每年,股東會,台新證券股務代理部,惠眾聯合會計師事務所,ADVANCETEK,servicemail@advancetek.com.tw,http://www.advancetek.com.tw
1443,立益物流開發股份有限公司,立益物流,其他,台北市大同區西寧北路70號6樓,蘇東榮,1961/11/25,1979/4/21,新台幣                 10.0000元,"1,353,430,110","135,343,011",合併,每年,股東會,元富證券股份有限公司股務代理科,國富浩華聯合會計師事務所,LILYTEXTILE,lily161@ms31.hinet.net,www.lily.com.tw
1444,力麗企業股份有限公司,力麗,紡織纖維,104台北市松江路162號11樓,郭紹儀,1968/1/15,1979/8/8,新台幣                 10.0000元,"9,955,950,590","995,595,059",合併,每年,股東會,台新綜合證券  股務代理部,勤業眾信聯合會計師事務所,LEALEA,srd0e8@lipeng.com.tw,https://www.lealeagroup.com.tw/
1445,大宇紡織股份有限公司,大宇,紡織纖維,台北市西寧北路62-5號7樓,陳曜銘,1958/9/12,1980/2/5,新台幣                 10.0000元,"1,306,660,340","130,666,034",合併,每年,股東會,群益金鼎證券(股)公司股務代理部,安永聯合會計師事務所,UNIVERSAL,uni.textile@msa.hinet.net,www.utc.tw
1446,宏和精密紡織股份有限公司,宏和,紡織纖維,台南市永康區中山南路473號,黃大功,1967/6/9,1980/10/15,新台幣                 10.0000元,"1,377,095,130","137,709,513",合併,每年,股東會,元大證券股份有限公司,安永聯合會計師事務所,HONG HO,u1081@hongho.com.tw,www.hongho.com.tw
1447,力鵬企業股份有限公司,力鵬,紡織纖維,104台北市松江路162號6樓,郭紹儀,1964/8/20,1981/1/28,新台幣                 10.0000元,"9,100,712,420","910,071,242",合併,每年,股東會,台新證券股務代理部,勤業眾信聯合會計師事務所,LP,lynn@lealea.com.tw,http://www.lipeng.com.tw
1449,佳和實業股份有限公司,佳和,紡織纖維,台南市新市區三舍里207號,翁偉翔,1961/12/12,1981/5/6,新台幣                 10.0000元,"852,101,030","85,210,103",合併,每年,股東會,群益金鼎證券股份有限公司,安侯建業會計師事務所,CHIA HER,u110507@chgtex.com,www.chgtex.com
1451,年興紡織股份有限公司,年興,紡織纖維,苗栗縣後龍鎮東明里下浮尾119-3號,陳威翰,1975/10/13,1981/12/21,新台幣                 10.0000元,"2,062,100,000","206,210,000",合併,每年,股東會,群益金鼎證券股份有限公司,勤業眾信聯合會計師事務所,NIEN HSING,nienhsing@nhjeans.com,https://www.nhjeans.com/
1452,宏益纖維工業股份有限公司,宏益,紡織纖維,台北市塔城街66號6樓,施振榮,1957/8/23,1981/12/28,新台幣                 10.0000元,"1,326,414,000","132,641,400",合併,每年,董事會,群益金鼎證券股份有限公司,立本台灣聯合會計師事務所,HONG YI,hongyi@hongyilon.com.tw,http://www.hongyilon.com.tw
1453,大將開發股份有限公司,大將,建材營造,台北市敦化南路二段71號6樓,葉義雄,1967/4/15,1982/4/19,新台幣                 10.0000元,"1,067,424,330","106,742,433",合併,每年,股東會,元大證券股份有限公司,勤業眾信聯合會計師事務所,TA  JIANG,md.yu@tajiang.com.tw,www.tajiang.com.tw
1454,台灣富綢纖維股份有限公司,台富,紡織纖維,台北市西寧北路70-1號8樓,莊燿銘,1962/6/1,1982/5/7,新台幣                 10.0000元,"1,298,338,480","129,833,848",合併,每年,董事會,富邦證券股份有限公司,勤業眾信聯合會計師事務所,TTF,c.j.wu@ttfco.com,http://www.ttfco.com
1455,集盛實業股份有限公司,集盛,紡織纖維,台北市西寧北路七十號二樓,葉守焞,1958/8/18,1982/10/7,新台幣                 10.0000元,"5,316,883,800","531,688,380",合併,每年,股東會,群益金鼎證券(股)公司股務代理部,國富浩華聯合會計師事務所,ZIG SHENG,jason_kuo@zigsheng.com,www.zigsheng.com
1456,怡華實業股份有限公司,怡華,建材營造,台北市內湖區內湖路一段392號12樓之1,黃士豪,1957/8/2,1982/12/9,新台幣                 10.0000元,"937,200,000","93,720,000",合併,每年,董事會,群益金鼎證券股份有限公司,安侯建業聯合會計師事務所,I-HWA,haul@ybworld.com.tw,http://www.ihwa.com.tw
