股票代碼,公司簡稱,償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元)
2393,億光,265.30,249.49,178.37,3.31,110.27,12.25,29.79,2.71,0.68,5.81,8.02,45.73,8.45,3.32
2406,國碩,194.43,145.43,-14.02,2.61,139.84,3.20,114.06,0.70,0.26,-7.74,-13.01,-34.09,-31.32,-0.99
2408,南亞科,479.73,335.42,-72.35,6.24,58.49,1.34,272.38,0.35,0.15,-3.71,-4.27,-34.55,-24.88,-2.4
2409,友達,152.50,119.00,0.00,11.30,32.30,8.20,44.51,1.40,0.60,-4.20,-10.2,-28.20,-7.30,-2.37
2426,鼎元,311.78,228.01,-9.81,3.30,110.60,2.19,166.66,1.21,0.42,-2.30,-3.24,-5.36,-5.98,-0.44
2429,銘旺科,173.68,128.85,-1.24,13.94,26.18,7.90,46.20,2.28,0.83,-5.82,-18.21,-8.70,-9.63,-0.56
2438,翔耀,84.62,54.76,-91.30,2.31,158.00,2.51,145.41,0.25,0.11,-6.35,-9.55,-9.94,-59.98,-1.0
2449,京元電子,284.47,264.15,11.85,4.65,78.49,17.29,21.11,0.73,0.45,8.86,15.63,61.21,18.22,4.78
2466,冠西電,145.90,84.29,1.66,4.76,76.68,1.53,238.56,1.43,0.24,2.26,1.59,3.28,2.86,0.18
3013,晟銘電,156.68,121.29,42.28,2.77,131.76,6.52,55.98,2.89,0.99,3.80,8.07,14.91,3.92,1.29
3017,奇鋐,149.03,100.71,218.92,10.51,34.72,2.71,134.68,5.63,0.90,8.55,28.27,209.36,8.96,14.11
3231,緯創,125.40,83.16,3.78,7.83,46.61,5.77,63.25,17.67,1.96,5.61,14.76,83.87,2.11,4.08
2603,長榮,213.10,202.00,13.97,11.14,32.76,無,無,1.17,0.34,5.43,7.59,301.66,14.45,16.7
2605,新興,137.73,135.14,426.87,7.44,49.05,無,無,0.30,0.20,3.10,3.14,9.80,12.26,0.76
2606,裕民,143.85,139.86,2.80,16.30,22.39,無,無,0.38,0.18,4.90,8.04,31.38,18.57,3.24
2609,陽明,415.41,405.50,5.49,16.53,22.08,無,無,1.77,0.31,1.57,1.63,32.35,3.61,1.37
2610,華航,77.40,64.73,406.82,17.48,20.88,無,無,1.47,0.63,3.26,9.97,15.38,4.04,1.13
2615,萬海,403.75,390.04,-0.34,23.61,15.45,無,無,0.75,0.29,-1.23,-2.68,-8.89,-5.77,-2.07
2618,長榮航,100.36,94.82,"1,110.70",無,無,無,無,1.54,0.62,7.97,21.67,53.40,11.53,4.01
2634,漢翔,148.92,60.97,11.93,4.82,75.72,2.05,178.04,4.40,0.90,5.62,13.51,30.17,5.69,2.36
2637,慧洋-KY,59.20,57.15,2.54,106.08,3.44,86.76,4.20,0.23,0.19,5.95,7.1,44.14,19.24,4.38
2834,臺企銀,無,無,無,無,無,無,無,無,1.49,0.49,9.43,15.11,33.11,1.29
2867,三商壽,無,無,無,無,無,無,無,無,無,-0.62,-27.67,-25.37,-7.72,-2.11
2880,華南金,無,無,無,無,無,無,無,183.83,1.59,0.58,11.01,19.20,36.35,1.58
2882,國泰金,"1,866.56",無,無,無,無,無,無,2.79,0.02,0.81,7.34,36.09,16.94,3.24
2883,開發金,無,無,無,無,無,無,無,1.26,0.01,0.53,8.03,11.17,47.91,1.13
2884,玉山金,無,無,無,無,無,無,無,1.92,0.02,0.61,10.03,16.93,32.61,1.41
2885,元大金,186.60,無,無,無,無,無,無,1.97,0.03,1.71,9.74,26.78,29.08,2.09
2888,新光金,無,無,無,無,無,無,無,0.64,0.01,-0.15,-3.2,-8.05,-28.83,-0.48
2890,永豐金,無,無,無,無,無,無,無,4.06,0.02,2.26,11.55,18.63,36.67,1.62
2891,中信金,無,無,無,無,無,無,無,無,0.02,0.72,13.83,33.26,42.16,2.82
3450,聯鈞,212.62,179.35,35.81,5.35,68.22,7.39,49.39,1.18,0.60,1.44,2.16,18.35,2.44,-0.52
3706,神達,171.93,121.93,17.47,5.99,60.93,3.41,107.03,4.74,0.40,2.17,2.92,16.58,5.02,1.48
3711,日月光投控,117.54,87.47,7.83,5.43,67.21,6.65,54.88,2.18,0.85,5.61,10.52,97.14,5.77,7.18
4967,十銓,132.17,66.94,9.01,9.01,40.51,5.17,70.59,48.38,2.55,4.10,11.09,41.78,1.43,3.38
5608,四維航,79.50,72.87,0.20,88.69,4.11,21.00,17.38,0.20,0.15,-0.35,-5.75,-12.68,-16.52,-1.26
6770,力積電,183.93,147.06,-1.39,6.15,59.34,3.17,115.14,0.48,0.24,-0.63,-1.74,-5.10,-3.73,-0.4
