新聞編號,網址,標題,摘要,關鍵字,內容,發布時間,類別,類別號碼,情感分類,情感得分
5644402,https://news.cnyes.com/news/id/5644402,中經院上修台灣GDP至3.81% 成長模式「內外皆溫」,中經院上修我 GDP 至 3.81% 成長模式「內外皆溫」,"['中經院', 'GDP', '出口', '內需', 'AI', '外需']","中華經濟研究院今 (19) 日發布我國今年經濟成長率 (GDP) 最新預測值為 3.81%，較 4 月的預測值上修 0.43 個百分點，經濟情勢由去年民間消費獨撐大樑，轉由消費和出口雙引擎帶動，成長模式為「內外皆溫」，國外淨需求貢獻度一舉提升至 1.34 個百分點。

中經院預估，今年內需貢獻 2.47 個百分點，其中，民間消費貢獻 1.42 個百分點，國內投資由去年的負成長轉為正成長，對成長貢獻 0.44 個百分點。

而國外淨需求部分，將由去年僅貢獻 0.14 個百分點，轉為貢獻 1.34 個百分點。

中經院進一步說明，台股創高的財富效果帶動民間消費成長，再加上出口暢旺，更助攻經濟成長力道。

中經院估，今年民間消費成長率約 2.95%，投資方面，由於國內固定資本形成，全年成長 1.87%，而民間投資則為小幅成長 0.45%。

出口方面，由於 AI、高速運算等全球需求暢旺，今年海關出口年增率可望達 8.32%；而進口成長則因出口、廠商投資引申需求影響，年增約 7.31%；相互扣減下，全年出超 912.8 億美元，年增 12.70%。

基期因素 今年 GDP 將逐季下滑

不過，由於去年基期影響，今年各季的 GDP 將逐季降低，估分別為 6.56%、4.32%、3.39% 和 1.34%。

另外，中經院將消費者物價指數 (CPI) 年增率下修到 2.16%，低於去年 0.33 個百分點，但仍高於 2.0% 的通膨警戒線，主要是因新台幣走貶，使進口物價上揚。
",2024-07-19 12:42:45,台股新聞,827,正面,11
5644400,https://news.cnyes.com/news/id/5644400,〈焦點股〉森崴能源喜迎離岸風場認列高峰 股價放量逆風漲,森崴能源 (6806-TW) 受惠台電二期離岸風場正式進入海事工程施工階段，迎來認列高峰，今 (19) 日無懼大盤重摔近 400 點，股價放量衝高，最高漲至 184.5 元，漲逾半根停板。 ,"['森崴能源', '離岸風電', '台電二期']","森崴能源 (6806-TW) 受惠台電二期離岸風場正式進入海事工程施工階段，迎來認列高峰，今 (19) 日無懼大盤重摔近 400 點，股價放量衝高，最高漲至 184.5 元，漲逾半根停板。 

森崴能源早盤以 173 元開高走高，一度漲逾半根停板，最高來到 184.5 元，雖然隨後漲幅稍收斂，但午盤截至 12 點，股價暫報 179.5 元，漲幅 4.06%，成交爆量超過 2.8 萬張。不過觀察三大法人近日籌碼動向，三大法人連續 4 個交易日賣超，合計賣超 5047 張。 

台電二期離岸風場的裝置容量達 294.5MW，為全台首座全由本土團隊承攬的離岸風場，包含「業主方」以及「施工方」都是台灣本土公司，三大成本為水下基礎、海上工程以及風機。 

隨著森崴能源旗下寶崴海事工程的「巨人號」重吊船 6 月抵台，正式進入海上工程的施作階段，森崴能源將於第三季趕工水下基礎安裝，並在 2025 年進行風機組裝、葉片、塔架安裝等工程，2025 年底竣工。 

森崴能源提到，台電二期離岸工程認列收入採完工比率法，統計至 2023 年底，已累計認列約 24% 工程款，2024 及 2025 年兩年將是主要工程款項的認列高峰期，預計將認列 65% 左右的工程款。 

森崴能源 6 月營收 15.78 億元，月增 12.49%，年增 1.78 倍，為今年以來新高；第二季營收 42.49 億元，季增 82%，年增 1.24 倍；累計今年上半年營收 65.81 億元，年增 1 倍。 
",2024-07-19 12:41:51,台股新聞,827,正面,4
5644399,https://news.cnyes.com/news/id/5644399,鉅亨速報 - Factset 最新調查：台化(1326-TW)EPS預估下修至1.47元，預估目標價為55元,FactSet 最新調查：台化(1326-TW)EPS預估下修，預估EPS、預估營收、目標價、歷史獲利表現、即時新聞資訊。,"['台股', '市場預估', 'eps']","根據FactSet最新調查，共11位分析師，對台化(1326-TW)做出2024年EPS預估：中位數由1.5元下修至1.47元，其中最高估值2.16元，最低估值1元，預估目標價為55元。市場預估EPS預估值2024年(前值)2025年2026年最高值2.16(2.16)3.13.8最低值1(1)0.81.85平均值1.48(1.51)2.062.79中位數1.47(1.5)2.122.76市場預估營收預估值(單位：新台幣千元)2024年2025年2026年最高值372,574,000382,432,000400,913,000最低值292,890,460329,715,420327,692,190平均值345,907,630359,488,500360,776,650中位數345,418,930368,420,380357,250,700歷史獲利表現項目2023年2022年2021年2020年EPS1.461.266.563.34營業收入(單位：新台幣千元)332,619,533379,896,563365,812,098253,294,668詳細資訊請看台股內頁：https://www.cnyes.com/twstock/1326/financials/ratios最新相關新聞            〈台股盤後〉台積電雖站回千元大關 大盤仍跌371點失守月線            〈台股開盤〉大血洗跌500點破月線 台積電法說前摜破千元大關            〈台股盤後〉空方劍指台積電 跌227點收23769點失守10日線            鉅亨速報 - Factset 最新調查：台化(1326-TW)EPS預估下修至1.5元，預估目標價為55元            鉅亨速報 - Factset 最新調查：台化(1326-TW)目標價調降至55元，幅度約5.17%    資料來源：Factset，數據僅供參考，不作為投資建議。",2024-07-19 12:10:35,台股,826,正面,1
5644398,https://news.cnyes.com/news/id/5644398,鉅亨速報 - Factset 最新調查：台塑(1301-TW)EPS預估下修至1.46元，預估目標價為62元,FactSet 最新調查：台塑(1301-TW)EPS預估下修，預估EPS、預估營收、目標價、歷史獲利表現、即時新聞資訊。,"['台股', '市場預估', 'eps']","根據FactSet最新調查，共11位分析師，對台塑(1301-TW)做出2024年EPS預估：中位數由1.47元下修至1.46元，其中最高估值2.76元，最低估值0.81元，預估目標價為62元。市場預估EPS預估值2024年(前值)2025年2026年最高值2.76(2.76)4.214.35最低值0.81(0.81)1.152.43平均值1.42(1.59)2.53.48中位數1.46(1.47)2.513.58市場預估營收預估值(單位：新台幣千元)2024年2025年2026年最高值209,112,910216,998,530225,923,720最低值194,735,560201,004,850205,152,630平均值203,146,940210,415,750214,552,090中位數203,840,000211,033,370213,566,010歷史獲利表現項目2023年2022年2021年2020年EPS1.155.6811.213.15營業收入(單位：新台幣千元)199,138,777251,647,354273,598,301185,813,405詳細資訊請看台股內頁：https://www.cnyes.com/twstock/1301/financials/ratios最新相關新聞            鉅亨速報 - Factset 最新調查：台塑(1301-TW)目標價調降至62元，幅度約3.13%            《價值型投資 最新產業研究報告》台塑四寶今天表現比大盤強勢，台塑、南亞            〈台股盤後〉台積電雖站回千元大關 大盤仍跌371點失守月線            〈台股開盤〉大血洗跌500點破月線 台積電法說前摜破千元大關            〈台股盤後〉空方劍指台積電 跌227點收23769點失守10日線    資料來源：Factset，數據僅供參考，不作為投資建議。",2024-07-19 12:10:33,台股,826,正面,1
5644397,https://news.cnyes.com/news/id/5644397,鉅亨速報 - Factset 最新調查：南亞(1303-TW)EPS預估下修至1.3元，預估目標價為53.6元,FactSet 最新調查：南亞(1303-TW)EPS預估下修，預估EPS、預估營收、目標價、歷史獲利表現、即時新聞資訊。,"['台股', '市場預估', 'eps']","根據FactSet最新調查，共10位分析師，對南亞(1303-TW)做出2024年EPS預估：中位數由1.44元下修至1.3元，其中最高估值1.71元，最低估值0.6元，預估目標價為53.6元。市場預估EPS預估值2024年(前值)2025年2026年最高值1.71(2.49)2.773.2最低值0.6(0.6)1.62.24平均值1.27(1.5)2.112.74中位數1.3(1.44)2.072.76市場預估營收預估值(單位：新台幣千元)2024年2025年2026年最高值277,936,000307,702,820329,607,290最低值223,582,120230,495,390229,734,420平均值261,627,690279,635,740285,756,410中位數266,618,000282,893,000291,841,980歷史獲利表現項目2023年2022年2021年2020年EPS0.84.0510.253.24營業收入(單位：新台幣千元)259,755,344355,183,300411,670,391273,353,806詳細資訊請看台股內頁：https://www.cnyes.com/twstock/1303/financials/ratios最新相關新聞            《價值型投資 最新產業研究報告》台塑四寶今天表現比大盤強勢，台塑、南亞            〈台股盤後〉台積電雖站回千元大關 大盤仍跌371點失守月線            〈台股開盤〉大血洗跌500點破月線 台積電法說前摜破千元大關            〈台股盤後〉空方劍指台積電 跌227點收23769點失守10日線            盤後速報 - 南亞(1303)次交易(17)日除息0.7元，參考價48.2元    資料來源：Factset，數據僅供參考，不作為投資建議。",2024-07-19 12:10:30,台股,826,正面,1
5644396,https://news.cnyes.com/news/id/5644396,鉅亨速報 - Factset 最新調查：台塑化(6505-TW)EPS預估下修至2.24元，預估目標價為69.5元,FactSet 最新調查：台塑化(6505-TW)EPS預估下修，預估EPS、預估營收、目標價、歷史獲利表現、即時新聞資訊。,"['台股', '市場預估', 'eps']","根據FactSet最新調查，共11位分析師，對台塑化(6505-TW)做出2024年EPS預估：中位數由2.46元下修至2.24元，其中最高估值2.94元，最低估值1.4元，預估目標價為69.5元。市場預估EPS預估值2024年(前值)2025年2026年最高值2.94(3.22)3.663.92最低值1.4(1.4)1.983.34平均值2.16(2.31)33.69中位數2.24(2.46)3.223.75市場預估營收預估值(單位：新台幣千元)2024年2025年2026年最高值786,078,420776,139,000776,072,450最低值631,826,440604,201,120626,861,940平均值702,777,290713,549,630702,335,070中位數703,343,900720,894,510703,202,950歷史獲利表現項目2023年2022年2021年2020年EPS2.31.515.190.78營業收入(單位：新台幣千元)712,576,194848,048,496620,062,326415,281,764詳細資訊請看台股內頁：https://www.cnyes.com/twstock/6505/financials/ratios最新相關新聞            〈台股盤後〉台積電雖站回千元大關 大盤仍跌371點失守月線            〈台股開盤〉大血洗跌500點破月線 台積電法說前摜破千元大關            〈台股盤後〉空方劍指台積電 跌227點收23769點失守10日線            鉅亨速報 - Factset 最新調查：台塑化(6505-TW)EPS預估下修至2.46元，預估目標價為72元            盤中速報 - 油電燃氣類股表現疲軟，跌幅2.24%，總成交額0.18億    資料來源：Factset，數據僅供參考，不作為投資建議。",2024-07-19 12:10:28,台股,826,正面,1
5644395,https://news.cnyes.com/news/id/5644395,鉅亨速報 - Factset 最新調查：台塑(1301-TW)目標價調降至62元，幅度約3.13%,FactSet 最新調查：台塑(1301-TW)目標價調降，最高估值、最低估值、中位數、綜合評級、近5日股價、大盤表現、即時新聞資訊。,"['台股', '市場預估', '目標價']",根據FactSet最新調查，共11位分析師，對台塑(1301-TW)提出目標價估值：中位數由64元下修至62元，調降幅度3.13%。其中最高估值86元，最低估值49元。綜合評級 - 共有11位分析師給予台塑(1301-TW)評價：積極樂觀1位、保持中立7位、保守悲觀3位。台塑(1301-TW)今(19日)收盤價為60元。近5日股價上漲6.67%，相關塑膠工業近5日上漲5.56%，集中市場加權指數下跌4.07%，股價漲幅表現優於大盤。最新相關新聞            《價值型投資 最新產業研究報告》台塑四寶今天表現比大盤強勢，台塑、南亞            〈台股盤後〉台積電雖站回千元大關 大盤仍跌371點失守月線            〈台股開盤〉大血洗跌500點破月線 台積電法說前摜破千元大關            〈台股盤後〉空方劍指台積電 跌227點收23769點失守10日線            盤後速報 - 台塑(1301)下週(7月23日)除息1元，預估參考價56.2元    資料來源：Factset，數據僅供參考，不作為投資建議。,2024-07-19 12:10:18,台股,826,負面,-3
5644363,https://news.cnyes.com/news/id/5644363,國銀首家！金管會同意臺銀申設立陶宛代表人辦事處,金管會今 (19) 日宣布，同意臺灣銀行向立陶宛主管機關申請設立立陶宛代表人辦事處。金管會指出，國銀在歐洲六國設有據點，立陶宛將是第七國，而臺銀也可望成為首家進駐立陶宛的國銀。,"['金管會', '立陶宛', '臺銀']","金管會今 (19) 日宣布，同意臺灣銀行向立陶宛主管機關申請設立立陶宛代表人辦事處。金管會指出，國銀在歐洲六國設有據點，立陶宛將是第七國，而臺銀也可望成為首家進駐立陶宛的國銀。

金管會指出，臺銀考量我國與立陶宛近年展開經貿交流，且立陶宛位處歐洲及歐亞大陸之交叉口，於該國設立代表人辦事處，有助於掌握中東歐市場商機，拓展該行海外業務發展。

臺銀現已設有紐約、洛杉磯、香港、東京、新加坡、南非、倫敦、上海、廣州、福州與雪梨等 11 家分行，以及孟買、仰光、矽谷、曼谷、法蘭克福、雅加達、胡志明市、馬尼拉、吉隆坡、鳳凰城與福岡等 11 家代表人辦事處。

金管會表示，我國銀行在歐洲據點尚有英國、法國、荷蘭、比利時、德國及捷克，在立陶宛目前未設有分支機構，臺灣銀行為第一家申設者。
",2024-07-19 11:49:23,台股新聞,827,正面,4
5644325,https://news.cnyes.com/news/id/5644325,越跌越買！小資族零股低接台積電、鴻海 高息ETF最愛00919,台股大跌，小資存股熱度不減，觀察台股 18 日零股交易情況，其中台積電 (2330-TW)、鴻海 (2317-TW) 分居一、二名，而擁有穩定高息配息政策的群益台灣精選高息 ETF(00919-TW) 則是最受小資族投資人青睞的台股,"['台股', 'ETF', '零股交易']","台股大跌，小資存股熱度不減，觀察台股 18 日零股交易情況，其中台積電 (2330-TW)、鴻海 (2317-TW) 分居一、二名，而擁有穩定高息配息政策的群益台灣精選高息 ETF(00919-TW) 則是最受小資族投資人青睞的台股 ETF。進一步觀察前十大排行中，台股 ETF 就占了 7 席，其中高股息 ETF 占了 5 席，顯示出台股高息 ETF 的存股價值持續受投資人青睞。

比較 7 檔台股 ETF 今年來含息表現，006208 因成分股持有台積電權重多達 5 成，績效高達 45%，0050 同樣是市值型，績效受台積電等權值股影響大，今年來含息報酬也有 44%。

進一步觀察 00919、00929、00878、0056、00946 這 5 檔台股高息 ETF 今年來含息表現，其中，00919 上漲 20.16% 表現居冠。



據了解，00919 挾著五次穩定配高息與抗跌跟漲的投資契機，持續吸引許多小資族買盤持續挹注，而群益科技高息成長 (00946-TW) 甫於 17 日公布首次配息，根據群益投信官網公告資訊，00946 本次基金每受益權單位預估配發金額為新台幣 0.067 元，預估年化配息率為 7.55%，是目前今年台股 ETF 新兵中配息最佳，因此也讓許多投資人逢低進場，00946 除息日訂於 8 月 7 日，故想參與配息的投資人，最晚須在 8 月 6 日買進。

財富管理業者表示，在現階段全球通膨高漲及股市動盪之際，高配息可為投資組合帶來穩定的收益，在高息股選擇方面，不能只選高股利，而是要挑對產業投資，才可獲得「真高息」。為投資人精選台灣股利率最佳且具獲利能力的優質企業的 ETF，才是最適合想要尋找長期投資台股息利雙收標的的投資人。

雖然股市漲多後須提防過熱的修正，不過，中長期隨全球主要央行貨幣政策轉為正常，以及經濟循環回到上升軌道，台股受惠科技產業庫存持續回補以及電子零件規格持續升級，多頭則可望持續發展。
",2024-07-19 11:34:31,台股新聞,827,正面,14
5644321,https://news.cnyes.com/news/id/5644321,〈焦點股〉設備廠志聖業績優爆發攻擊量能逆勢上漲3%,設備廠志聖 (2467-TW) 自結 2024 年 1-6 月營收達 24.29 億元，年增 43.28%，上半年稅後純益 3.59 億元，年增 73%，每股純純益爲 2.4 元，志聖雖仍遭交易處置中，今股價逆勢上漲近 3%，,"['台積電', '志聖', '營收', 'EPS']","半導體設備先進封裝製程需求仍高漲之中，也帶動相關設備廠業績走高，設備廠志聖 (2467-TW) 自結 2024 年 1-6 月營收達 24.29 億元，年增 43.28%，上半年稅後純益 3.59 億元，年增 73%，每股純益爲 2.4 元，志聖雖仍遭交易處置中，今股價逆勢上漲近 3%，站上所有均線。

志聖自結 2024 年第二季營收 13.49 億元，年增 85.18%，單季稅後純益爲 1.87 億元，年增 1.43 倍，累計 2024 年上半年營收達 24.29 億元，年增 43.28%，上半年稅後純益 3.59 億元，年增 73%，每股純益爲 2.4 元。

志聖是台積電 (2330-TW) 的供應鏈之一，在半導體先進封裝布局上，志聖已切入 CoWoS、SoIC 供應鏈，提供介電層貼合、烘烤線用的 Carrier Bonder 暫時性鍵合機、晶圓級真空壓膜機等設備，法人估拉貨熱潮可望延續到 2025 年。

志聖在配合主要客戶擴產下，志聖聯合 G2C 聯盟的均華 (6640-TW)、均豪 (5443-TW) 等成員，共取得多筆設備訂單。法人估，隨著交機高峰來臨，預期半導體業務占志聖營收比重有望從 2023 年的約 15%，進一步成長到 20-30%。


 
",2024-07-19 11:28:30,台股新聞,827,中性,0
5644288,https://news.cnyes.com/news/id/5644288,台積電法說外資叫好不叫座 股價失守月線 市值縮至25.5兆元,台積電 (2330-TW)(TSM-US) 昨日法說會報佳音，眾多外資也調升目標價，不過在川普保護費言論下，市場對地緣政治風險意識抬高，今 (19) 日股價開盤下挫，再度跌破千元，盤中最低更下探至 981 元，跌幅超過 2%，也失守月,"['台積電', '外資', '目標價']","台積電 (2330-TW)(TSM-US) 昨日法說會報佳音，眾多外資也調升明年營運展望與目標價，不過在川普保護費言論下，市場對地緣政治風險意識抬高，今 (19) 日股價開盤下挫，再度跌破千元，盤中最低更下探至 981 元，跌幅超過 2%，也失守月線大關，市值收斂至 25.5 兆元。

台積電今年以來受惠先進封裝供不應求，加上 3 奈米、5 奈米產能滿載，營運表現優於預期，此次法說會也調升全年營收成長率至略高於 25%，毛利率同樣超出市場預期，就連資本支出下限都提升至 300 億元。

外資此次對台積電毛利率也感到驚豔，看好明年的表現，包括可能調漲 5 奈米、3 奈米與 CoWoS 的價格 5-10%，成熟製程的節點也略微上漲，3 奈米的毛利率有機會在明年下半年結束時接近公司平均毛利率，相比於今年下半年稀釋 3-4 個百分點明顯增加，且明年平均稼動率將達 88%，今年約 80%。

展望後市，台積電進入 2 奈米後，將看到更多客戶會採用 3DIC/SoIC，涵蓋 HPC 和邊緣 AI 應用，外資預期，這將帶動台積電明年資本支出增加，預計將達到 350-400 億美元，至於營收普遍看好再成長 22% 以上。

外資此次普遍調升目標價，最高達 1500 元，次高也有 1410 元，不過外資近日多呈現賣超，近兩日提款超過 5.5 萬張。
",2024-07-19 11:15:46,台股新聞,827,正面,3
5644289,https://news.cnyes.com/news/id/5644289,〈焦點股〉可成董座涉嫌內線交易 股價一度觸及跌停,機殼廠可成 (2474-TW) 昨 (18) 日驚爆內線交易，董事長洪水樹涉嫌在禁止交易期間，利用家族帳戶偷買股票，不法獲利逾千萬，而後洪水樹以 1000 萬元交保，拖累可成今 (19) 日股價重摔，一度觸及跌停板 198 元。 ,"['可成', '機殼', '內線交易']","機殼廠可成 (2474-TW) 昨 (18) 日驚爆內線交易，董事長洪水樹涉嫌在禁止交易期間，利用家族帳戶偷買股票，不法獲利逾千萬，而後洪水樹以 1000 萬元交保，拖累可成今 (19) 日股價重摔，一度觸及跌停板 198 元。 

可成今天早盤以 210 元跳空開低，一度觸及跌停價 198 元，雖然盤中跌幅稍收斂，但仍跌逾半根停板，截至上午 10 點 48 分，股價暫報 201 元，跌幅 8.64%，成交量超過 8000 張。觀察三大法人近日籌碼動向，三大法人本周買超 1439 張。 

據悉，洪水樹於 2020、2021 年間，在可成 2 次公告買回庫藏股的重大訊息前，在禁止交易期間，利用家族帳戶大量買賣股票，不法獲利超過千萬元。昨天台北地檢署執行搜索，共搜索 21 個地方，約談包含洪水樹夫妻等 9 名家族成員，並以違反內線交易等罪偵辦，訊後洪水樹以 1000 萬元交保。 

同時，可成也於昨日晚間發重訊聲明，將全力配合檢調單位調查，且公司營運皆正常，對財務及業務均無重大影響。 

可成 6 月營收 15.66 億元，月減 4.34%，年減 26.11%。累計今年上半年營收 83.3 億元，年減 20%。可成先前指出，隨著時序進到下半年電子業傳統旺季，出貨動能有望逐步回溫，加上 Windows 升級以及 AI PC 挹注，有助推升終端消費需求。 

 
",2024-07-19 11:07:21,台股新聞,827,負面,-13
5644273,https://news.cnyes.com/news/id/5644273,〈房產〉家電、家具喜迎銷售旺季 兩大業者受惠,家電、家具喜迎銷售旺季 兩大業者受惠,"['家電', '房市', '詩肯', '集雅社', '家具']","房市熱絡，相關業者營運升溫，國內最大連鎖家具商詩肯 (6195-TW) 表示，家具業通常較房市表現落後半年，下半年業績動能可期，而家電通路商集雅社 (2937-TW) 也表示，目前家電買氣暢旺，尤其 AI 的發展正逐步帶動更高階的視聽需求。

詩肯指出，上半年家具市場平平，但房市強強滾，主要是因家具業通常較房市落後半年，預計下半年起訂單將開始成長。

詩肯規劃，將在近期引進集團旗下新加坡 NOVA，先在新竹、台北開出 2 家店測試市場反應，未來可望擴大店點規模，來增添在國內家具市場的營運新動能。

除了房市熱絡，再加上奧運盛會即將到來，集雅社觀察到家電採購需求升溫，尤其高畫質大螢幕電視；集雅社認為，尤其 5G 及 AI 技術的持續演進，可滿足消費者對於更智慧、沈浸式體驗的需求。

集雅社進一步說明，AI 電視與一般電視的主要差異在於其智能化和個人化的體驗，AI 電視不僅能提供更優質的觀賞體驗，更能透過智慧學習功能，自動記憶使用者偏好，在不同場景中自動優化畫質和音質。

而 AI 遊戲助理則可即時分析遊戲類型，自動調整最佳設定，更能滿足追求沈浸感的電競玩家需求。
",2024-07-19 10:43:46,台股新聞,827,正面,8
5644227,https://news.cnyes.com/news/id/5644227,華南銀行「以人為本」  2度獲公平待客評核前25%佳績,,"['華南銀', '公平待客評核', '金管會']","華南銀行將金融消費者保護暨公平待客視為企業核心價值，積極實踐並深植於企業文化之中，於 113 年再次獲得金管會肯定，入選「公平待客評核前 25%」銀行業者。

華南銀行由董事會帶領執行金融消費者保護暨公平待客原則各項措施，董事、獨立董事及監察人積極提出各項具體建議，在組織面上，除原有經董事會通過成立的「金融消費者保護暨公平待客委員會」外，又經董事長指示由總經理領軍另設置「全面提升公平待客專案工作小組」，檢視各項精進計畫、重視客戶意見優化關鍵流程，透過由上而下形塑、傳遞金融消費者保護暨公平待客觀念價值及行為期待，以多元溝通管道瞭解並關心客戶，發揚金融友善服務精神。

華南銀行響應公平待客、防詐阻詐、信託 2.0 計畫、淨零減碳、普惠金融、高齡及弱勢客戶保障措施、金融科技創新等重要議題，自 112 年起導入「全面提升服務品質」專案，總經理親自到全台第一線分行實地訪查，督導營業廳服務流程及無障礙設施，並傾聽同仁建議；領先同業，推出 24 小時真人文字客服，全天候提供聽障者無障礙服務；積極防詐阻詐，持續利用金融科技阻擋詐欺交易來守護客戶資產。

深耕台灣百年的華南銀行表示，該行向來將客戶的信賴視為最重要的無形資產，透過「以人為本」的思維，從各個族群客戶需求為核心來設想，未來也將持續增進客戶服務品質及落實客戶權益保障，以及提供全方位數位服務，讓客戶能夠隨時隨地取得各式金融商品，並積極關注普惠金融，提供更溫暖、友善便捷的優質服務，讓每個世代不同人生階段客戶，都能獲得助力與守護。
",2024-07-19 10:32:01,台股新聞,827,正面,32
5644145,https://news.cnyes.com/news/id/5644145,程曦深耕AI智能客服 年約客戶案量增,程曦深耕 AI 智能客服 年約客戶案量增長無虞,"['程曦', 'AI', '克服', '數位轉型', '資訊軟體', '資訊服務']","隨著數位轉型需求趨勢，整合服務商程曦資訊 (6898-TW) 表示，公部門客戶服務委外規模正在擴大，是主要營運重心之一，樂觀看年約型的客戶服務案量穩定增長，挹注營收動能。

程曦資訊上半年營收創同期高，主要受惠常置型的公部門合約量持續增加。

程曦資訊表示，去年服務專案多數屬短期的公部門任務型專案，合約到期後，部分於上半年轉為常置性年約服務。

目前因服務業人力嚴重短缺，促政府部門及民間企業大幅增加對委外客服業務的需求，上半年常置型的年約服務案量年增 7.96%，承接勞動部、內政部和台北市政府等大型部會的民眾服務專案，涵蓋文字、語音、網路和 APP 等全方位的顧客關係服務。

除了公部門的服務量穩定成長，程曦也積極協助中小企業完成數位轉型，其中又以交通、3C、醫美和電子商務等高專業技術門檻的企業客戶服務為主。

程曦設有數位轉型顧問諮詢部門，以客製化的 AI 質檢、AI Trainer 等生成式技術，提高客戶服務的效率。

展望下半年，程曦將持續發展公部門和企業端的顧客關係管理服務業務，拓展更多產業領域的客戶族群、擴大客服業務覆蓋率，並強化 AI 智能客服的性能，全力推動年約型的客戶服務案量穩定增長。
",2024-07-19 10:00:41,台股新聞,827,正面,14
5644137,https://news.cnyes.com/news/id/5644137,南僑旗下皇家可口在台IPO案正式啟動 凱基證券奪主辦承銷,南僑在經今年股東會通過控有的旗下皇家可口在台上市上櫃 IPO 案，正式啟動，由凱基證券任主辦券商，並將在第四季登錄興櫃交易，皇家可口的此一 IPO 如獲實現，南僑將成為在台控有分別在台及上海 A 股掛牌,"['南僑', '營收', 'IPO', '皇家可口', '凱基']","南僑 (1702-TW) 在經今年股東會通過控有的旗下皇家可口在台上市上櫃 IPO 案，正式啟動，由凱基證券任主辦券商，並將在第四季登錄興櫃交易，皇家可口的此一 IPO 如獲實現，南僑將成為在台控有分別在台及上海 A 股掛牌的控股公司。

南僑手中控有生產油脂產品的上海南僑食品已於 2021 年 5 月完成在上海 A 股 IPO，南僑股東會並通過控有的旗下皇家可口在台上市上櫃案。

南僑 2023 年營收達 226.8 億元，年增 10.74%，其中由南僑控有生產杜老爺冰淇淋的皇家可口公司營收達 21.85 億元，年增 11.6%，皇家可口公司此一營業規模也足以向資本市場邁進，一旦獲准 IPO，南僑將成為在台控有分別在台及上海 A 股掛牌的 T+T+A 控股公司。

由南僑控有生產杜老爺冰淇淋、急凍熟麵的皇家可口公司營收達 21.85 億元，年增 11.6%，其中並以冰品的營收成長幅度最大 ，目前股本 7 億元的皇家可口公司 2023 年稅後純益約 3.5 億元，每股純益達 3.6 元。皇家可口公司此一營業規模也足以向資本市場邁進，一旦 IPO 案獲實現，南僑將成為在台控有分別在台及上海 A 股掛牌的 T+T+A 控股公司。

同時，皇家可口公司目前手中持有約 4.6 萬張的南僑股權，持股比例約 18%。而南僑對皇家可口公司目前持股比重達 99.65%%，將對南僑股東及推薦券商以每股 61 元釋出股權至低於 70%，以符合 IPO 的規定，並預計在第四季登錄興櫃交易，預計 2025 年正式 IPO 掛牌交易。

由南僑控有生產杜老爺冰淇淋、急凍熟麵的皇家可口公司 2023 年營收達 21.85 億元，年增 11.6%，2024 年上半年營收 12.68 億，年增 16.47%，其中並以冰品的營收成長幅度最大 
",2024-07-19 09:57:31,台股新聞,827,正面,19
5644067,https://news.cnyes.com/news/id/5644067,〈台股開盤〉「積」情法說利多不漲 續跌300點退守23000大關,台積電昨 (18) 日召開法說會，，即便第二季財報報捷，仍然救不了台股今 (19) 日表現，台積電開盤再度摜破千元，拖累台股重摔近 300 點，最低跌至 23118.05 點，力守 22000 點大關，預估成交量 4900 億元。 ,"['台股開盤', '台積電', '營建', '航運', '綠能']","台積電昨 (18) 日召開法說會，第二季雙率均超越財測高標，即便第二季財報報捷，仍然救不了台股今 (19) 日表現，台積電開盤再度摜破千元，拖累台股跳空下跌逾百點，早盤跌幅加重，重摔逾 300 點，最低跌至 23082.71 點，力守 23000 點大關，預估成交量 4900 億元。 

權值股今天持續回檔修正，台積電 (2330-TW) 開盤再度摜破千元大關，下跌 17 元，以 988 元開出，雖然隨後跌幅稍收斂，但仍有 1.49% 的跌幅。聯發科 (2454-TW) 跌 1.17%，鴻海 (2317-TW) 跌 1.23%，日月光 (3711-TW) 跌 3.12%，台達電 (2308-TW) 跌 1.87%。 

營建族群今天表現弱勢，全坤建 (2509-TW) 跌逾半根停板，華友聯 (436-TW)、鼎固 - KY(2923-TW)、皇普 (2528-TW) 跌逾 4%，隆大 (5519-TW)、達麗 (6177-TW)、興富發 (2542-TW)、國揚 (2505-TW) 跌逾 3%，華建 (2530-TW)、愛山林 (2540-TW)、宏璟 (2527-TW)、名軒 (1442-TW)、太設 (2506-TW) 皆跌逾 2%。 

航運族群今天也臉綠，萬海 (2615-TW) 跌逾 3%，台航 (2617-TW)、台驊投控 (2636-TW)、裕民 (2606-TW)、慧洋 - KY(2637-TW)、長榮 (2603-TW)、陽明 (2609-TW) 皆跌逾 2%。 

綠能概念股今天則成為盤面亮點，雲豹能源 (6869-TW、山林水 (8473-TW) 雙雙亮燈漲停，森崴能源 (6806-TW) 漲逾半根停板。 
",2024-07-19 09:38:34,台股盤勢,829,負面,-6
